training_seed,video_id,method_id,tolerance_sec,gt_time_sec,pred_time_sec,signed_delay_sec,gt_from_phase,gt_to_phase,pred_from_phase,pred_to_phase,from_phase_correct,to_phase_correct,exact_transition_correct
0,20,egtp_selected,10,3080,3083,3,4,5,4,7,True,False,False
0,21,baseline_raw,5,860,865,5,1,2,3,2,False,True,False
0,21,baseline_raw,5,2760,2760,0,3,4,4,7,False,False,False
0,21,baseline_raw,5,3220,3224,4,4,5,4,5,True,True,True
0,21,baseline_raw,5,3280,3280,0,5,7,5,7,True,True,True
0,21,baseline_raw,5,4040,4039,-1,6,7,7,6,False,False,False
0,21,baseline_raw,10,860,865,5,1,2,3,2,False,True,False
0,21,baseline_raw,10,2760,2760,0,3,4,4,7,False,False,False
0,21,baseline_raw,10,3220,3224,4,4,5,4,5,True,True,True
0,21,baseline_raw,10,3280,3280,0,5,7,5,7,True,True,True
0,21,baseline_raw,10,4040,4039,-1,6,7,7,6,False,False,False
0,21,persistence_5,5,2760,2765,5,3,4,7,4,False,True,False
0,21,persistence_5,5,4040,4043,3,6,7,7,6,False,False,False
0,21,persistence_5,10,2760,2765,5,3,4,7,4,False,True,False
0,21,persistence_5,10,3220,3212,-8,4,5,5,4,False,False,False
0,21,persistence_5,10,3280,3287,7,5,7,5,4,True,False,False
0,21,persistence_5,10,4040,4043,3,6,7,7,6,False,False,False
0,21,egtp_selected,5,4040,4043,3,6,7,7,6,False,False,False
0,21,egtp_selected,10,2760,2769,9,3,4,7,4,False,True,False
0,21,egtp_selected,10,3280,3287,7,5,7,5,4,True,False,False
0,21,egtp_selected,10,4040,4043,3,6,7,7,6,False,False,False
1,15,baseline_raw,5,2279,2278,-1,7,6,4,5,False,False,False
1,15,baseline_raw,5,3402,3397,-5,6,7,4,5,False,False,False
1,15,baseline_raw,10,2279,2278,-1,7,6,4,5,False,False,False
1,15,baseline_raw,10,3402,3397,-5,6,7,4,5,False,False,False
1,15,persistence_5,5,2279,2282,3,7,6,4,5,False,False,False
1,15,persistence_5,5,3402,3401,-1,6,7,4,5,False,False,False
1,15,persistence_5,10,40,30,-10,1,2,1,2,True,True,True
1,15,persistence_5,10,2279,2282,3,7,6,4,5,False,False,False
1,15,persistence_5,10,3402,3401,-1,6,7,4,5,False,False,False
1,15,egtp_selected,5,3402,3405,3,6,7,4,5,False,False,False
1,15,egtp_selected,10,40,30,-10,1,2,1,2,True,True,True
1,15,egtp_selected,10,2279,2288,9,7,6,4,5,False,False,False
1,15,egtp_selected,10,3402,3405,3,6,7,4,5,False,False,False
1,16,baseline_raw,5,690,686,-4,3,2,3,2,True,True,True
1,16,baseline_raw,5,2157,2152,-5,4,5,4,5,True,True,True
1,16,baseline_raw,5,2180,2182,2,5,7,5,7,True,True,True
1,16,baseline_raw,5,2440,2441,1,7,6,7,6,True,True,True
1,16,baseline_raw,10,690,686,-4,3,2,3,2,True,True,True
1,16,baseline_raw,10,1740,1747,7,3,4,2,3,False,False,False
1,16,baseline_raw,10,2157,2152,-5,4,5,4,5,True,True,True
1,16,baseline_raw,10,2180,2182,2,5,7,5,7,True,True,True
1,16,baseline_raw,10,2440,2441,1,7,6,7,6,True,True,True
1,16,persistence_5,5,2157,2156,-1,4,5,4,5,True,True,True
1,16,persistence_5,10,2157,2156,-1,4,5,4,5,True,True,True
1,16,egtp_selected,10,2180,2171,-9,5,7,4,5,False,False,False
1,17,baseline_raw,5,120,120,0,1,2,1,2,True,True,True
1,17,baseline_raw,5,3600,3599,-1,5,6,5,7,True,False,False
1,17,baseline_raw,10,120,120,0,1,2,1,2,True,True,True
1,17,baseline_raw,10,3460,3466,6,4,5,7,4,False,False,False
1,17,baseline_raw,10,3600,3599,-1,5,6,5,7,True,False,False
1,17,persistence_5,5,120,124,4,1,2,1,2,True,True,True
1,17,persistence_5,5,3460,3456,-4,4,5,4,7,True,False,False
1,17,persistence_5,5,3600,3603,3,5,6,5,7,True,False,False
1,17,persistence_5,10,120,124,4,1,2,1,2,True,True,True
1,17,persistence_5,10,3460,3456,-4,4,5,4,7,True,False,False
1,17,persistence_5,10,3600,3603,3,5,6,5,7,True,False,False
1,17,egtp_selected,5,120,124,4,1,2,1,2,True,True,True
1,17,egtp_selected,10,120,124,4,1,2,1,2,True,True,True
1,17,egtp_selected,10,3460,3454,-6,4,5,4,7,True,False,False
1,18,baseline_raw,5,620,621,1,3,2,3,2,True,True,True
1,18,baseline_raw,5,1313,1308,-5,2,3,2,3,True,True,True
1,18,baseline_raw,5,1680,1678,-2,3,4,3,4,True,True,True
1,18,baseline_raw,5,2100,2104,4,4,7,4,5,True,False,False
1,18,baseline_raw,5,2240,2242,2,7,6,4,6,False,True,False
1,18,baseline_raw,5,3439,3441,2,6,7,6,7,True,True,True
1,18,baseline_raw,10,620,621,1,3,2,3,2,True,True,True
1,18,baseline_raw,10,1313,1308,-5,2,3,2,3,True,True,True
1,18,baseline_raw,10,1680,1678,-2,3,4,3,4,True,True,True
1,18,baseline_raw,10,2100,2104,4,4,7,4,5,True,False,False
1,18,baseline_raw,10,2240,2242,2,7,6,4,6,False,True,False
1,18,baseline_raw,10,3439,3441,2,6,7,6,7,True,True,True
1,18,persistence_5,5,620,625,5,3,2,3,2,True,True,True
1,18,persistence_5,5,1313,1312,-1,2,3,2,3,True,True,True
1,18,persistence_5,10,620,625,5,3,2,3,2,True,True,True
1,18,persistence_5,10,1313,1312,-1,2,3,2,3,True,True,True
1,18,persistence_5,10,2100,2108,8,4,7,4,5,True,False,False
1,18,persistence_5,10,2240,2246,6,7,6,4,6,False,True,False
1,18,persistence_5,10,3439,3445,6,6,7,6,7,True,True,True
1,18,egtp_selected,5,620,624,4,3,2,3,2,True,True,True
1,18,egtp_selected,5,1313,1315,2,2,3,2,3,True,True,True
1,18,egtp_selected,10,620,624,4,3,2,3,2,True,True,True
1,18,egtp_selected,10,1313,1315,2,2,3,2,3,True,True,True
1,18,egtp_selected,10,2100,2107,7,4,7,4,5,True,False,False
1,19,baseline_raw,5,1500,1500,0,2,3,2,3,True,True,True
1,19,baseline_raw,5,2820,2818,-2,6,7,6,7,True,True,True
1,19,baseline_raw,10,1500,1500,0,2,3,2,3,True,True,True
1,19,baseline_raw,10,1863,1873,10,3,4,2,3,False,False,False
1,19,baseline_raw,10,2820,2818,-2,6,7,6,7,True,True,True
1,19,persistence_5,5,1500,1497,-3,2,3,3,2,False,False,False
1,19,persistence_5,5,2820,2822,2,6,7,6,7,True,True,True
1,19,persistence_5,10,1500,1497,-3,2,3,3,2,False,False,False
1,19,persistence_5,10,1863,1853,-10,3,4,3,2,True,False,False
1,19,persistence_5,10,2820,2822,2,6,7,6,7,True,True,True
1,19,egtp_selected,5,1500,1502,2,2,3,2,3,True,True,True
1,19,egtp_selected,5,2820,2822,2,6,7,6,7,True,True,True
1,19,egtp_selected,10,1500,1502,2,2,3,2,3,True,True,True
1,19,egtp_selected,10,1863,1856,-7,3,4,3,2,True,False,False
1,19,egtp_selected,10,2820,2822,2,6,7,6,7,True,True,True
1,20,baseline_raw,5,1400,1401,1,2,3,2,3,True,True,True
1,20,baseline_raw,5,1770,1770,0,3,2,3,2,True,True,True
1,20,baseline_raw,5,3080,3084,4,4,5,4,5,True,True,True
1,20,baseline_raw,5,3215,3217,2,7,6,7,6,True,True,True
1,20,baseline_raw,5,4615,4613,-2,6,7,6,7,True,True,True
1,20,baseline_raw,10,1400,1401,1,2,3,2,3,True,True,True
1,20,baseline_raw,10,1770,1770,0,3,2,3,2,True,True,True
1,20,baseline_raw,10,3080,3084,4,4,5,4,5,True,True,True
1,20,baseline_raw,10,3215,3217,2,7,6,7,6,True,True,True
1,20,baseline_raw,10,4615,4613,-2,6,7,6,7,True,True,True
1,20,persistence_5,10,1770,1761,-9,3,2,3,2,True,True,True
1,20,persistence_5,10,3215,3221,6,7,6,7,6,True,True,True
1,20,egtp_selected,10,3215,3224,9,7,6,7,6,True,True,True
1,21,baseline_raw,5,860,860,0,1,2,3,2,False,True,False
1,21,baseline_raw,5,2760,2760,0,3,4,4,5,False,False,False
1,21,baseline_raw,5,3220,3217,-3,4,5,5,4,False,False,False
1,21,baseline_raw,10,860,860,0,1,2,3,2,False,True,False
1,21,baseline_raw,10,2760,2760,0,3,4,4,5,False,False,False
1,21,baseline_raw,10,3220,3217,-3,4,5,5,4,False,False,False
1,21,baseline_raw,10,3280,3288,8,5,7,5,4,True,False,False
1,21,persistence_5,5,3220,3221,1,4,5,5,4,False,False,False
1,21,persistence_5,10,860,867,7,1,2,3,2,False,True,False
1,21,persistence_5,10,3220,3221,1,4,5,5,4,False,False,False
1,21,egtp_selected,5,860,864,4,1,2,3,2,False,True,False
1,21,egtp_selected,10,860,864,4,1,2,3,2,False,True,False
2,15,baseline_raw,5,1640,1640,0,3,4,3,2,True,False,False
2,15,baseline_raw,5,3402,3397,-5,6,7,4,7,False,True,False
2,15,baseline_raw,10,1640,1640,0,3,4,3,2,True,False,False
2,15,baseline_raw,10,2279,2269,-10,7,6,4,7,False,False,False
2,15,baseline_raw,10,3402,3397,-5,6,7,4,7,False,True,False
2,15,persistence_5,5,3402,3401,-1,6,7,4,7,False,True,False
2,15,persistence_5,10,2279,2273,-6,7,6,4,7,False,False,False
2,15,persistence_5,10,3402,3401,-1,6,7,4,7,False,True,False
2,15,egtp_selected,5,1640,1640,0,3,4,3,2,True,False,False
2,15,egtp_selected,5,3402,3400,-2,6,7,4,7,False,True,False
2,15,egtp_selected,10,1640,1640,0,3,4,3,2,True,False,False
2,15,egtp_selected,10,2279,2287,8,7,6,4,7,False,False,False
2,15,egtp_selected,10,3402,3400,-2,6,7,4,7,False,True,False
2,16,baseline_raw,5,2157,2152,-5,4,5,4,5,True,True,True
2,16,baseline_raw,5,2180,2177,-3,5,7,5,7,True,True,True
2,16,baseline_raw,5,2440,2444,4,7,6,7,6,True,True,True
2,16,baseline_raw,10,2157,2152,-5,4,5,4,5,True,True,True
2,16,baseline_raw,10,2180,2177,-3,5,7,5,7,True,True,True
2,16,baseline_raw,10,2440,2444,4,7,6,7,6,True,True,True
2,16,persistence_5,5,2157,2156,-1,4,5,4,5,True,True,True
2,16,persistence_5,5,2180,2181,1,5,7,5,7,True,True,True
2,16,persistence_5,10,2157,2156,-1,4,5,4,5,True,True,True
2,16,persistence_5,10,2180,2181,1,5,7,5,7,True,True,True
2,16,persistence_5,10,2440,2448,8,7,6,7,6,True,True,True
2,16,egtp_selected,5,2180,2180,0,5,7,5,7,True,True,True
2,16,egtp_selected,10,2180,2180,0,5,7,5,7,True,True,True
2,17,baseline_raw,10,1600,1609,9,2,3,2,3,True,True,True
2,17,baseline_raw,10,3460,3466,6,4,5,7,4,False,False,False
2,17,persistence_5,5,3460,3458,-2,4,5,4,7,True,False,False
2,17,persistence_5,10,3460,3458,-2,4,5,4,7,True,False,False
2,18,baseline_raw,5,620,621,1,3,2,3,2,True,True,True
2,18,baseline_raw,5,1313,1308,-5,2,3,2,3,True,True,True
2,18,baseline_raw,5,1680,1681,1,3,4,3,4,True,True,True
2,18,baseline_raw,5,2100,2103,3,4,7,4,5,True,False,False
2,18,baseline_raw,10,620,621,1,3,2,3,2,True,True,True
2,18,baseline_raw,10,1313,1308,-5,2,3,2,3,True,True,True
2,18,baseline_raw,10,1680,1681,1,3,4,3,4,True,True,True
2,18,baseline_raw,10,2100,2103,3,4,7,4,5,True,False,False
2,18,baseline_raw,10,2240,2232,-8,7,6,4,7,False,False,False
2,18,baseline_raw,10,3439,3448,9,6,7,6,7,True,True,True
2,18,persistence_5,5,620,617,-3,3,2,2,3,False,False,False
2,18,persistence_5,5,1680,1685,5,3,4,3,4,True,True,True
2,18,persistence_5,10,620,617,-3,3,2,2,3,False,False,False
2,18,persistence_5,10,1680,1685,5,3,4,3,4,True,True,True
2,18,persistence_5,10,2100,2107,7,4,7,4,5,True,False,False
2,18,persistence_5,10,2240,2230,-10,7,6,4,7,False,False,False
2,18,egtp_selected,5,1313,1316,3,2,3,2,3,True,True,True
2,18,egtp_selected,5,1680,1684,4,3,4,3,4,True,True,True
2,18,egtp_selected,5,2240,2237,-3,7,6,4,7,False,False,False
2,18,egtp_selected,10,1313,1316,3,2,3,2,3,True,True,True
2,18,egtp_selected,10,1680,1684,4,3,4,3,4,True,True,True
2,18,egtp_selected,10,2240,2237,-3,7,6,4,7,False,False,False
2,19,baseline_raw,5,1500,1500,0,2,3,2,3,True,True,True
2,19,baseline_raw,5,1863,1864,1,3,4,1,2,False,False,False
2,19,baseline_raw,5,2080,2078,-2,4,7,5,4,False,False,False
2,19,baseline_raw,10,1500,1500,0,2,3,2,3,True,True,True
2,19,baseline_raw,10,1863,1864,1,3,4,1,2,False,False,False
2,19,baseline_raw,10,2080,2078,-2,4,7,5,4,False,False,False
2,19,persistence_5,5,1500,1497,-3,2,3,3,2,False,False,False
2,19,persistence_5,5,1863,1862,-1,3,4,2,1,False,False,False
2,19,persistence_5,10,1500,1497,-3,2,3,3,2,False,False,False
2,19,persistence_5,10,1863,1862,-1,3,4,2,1,False,False,False
2,19,egtp_selected,5,1500,1501,1,2,3,2,3,True,True,True
2,19,egtp_selected,5,1863,1865,2,3,4,1,2,False,False,False
2,19,egtp_selected,10,1500,1501,1,2,3,2,3,True,True,True
2,19,egtp_selected,10,1863,1865,2,3,4,1,2,False,False,False
2,20,baseline_raw,5,1770,1766,-4,3,2,2,3,False,False,False
2,20,baseline_raw,10,120,127,7,1,2,1,2,True,True,True
2,20,baseline_raw,10,1770,1766,-4,3,2,2,3,False,False,False
2,20,baseline_raw,10,3080,3088,8,4,5,4,7,True,False,False
2,20,baseline_raw,10,3215,3222,7,7,6,7,6,True,True,True
2,20,persistence_5,10,1400,1391,-9,2,3,2,3,True,True,True
2,21,baseline_raw,5,2760,2764,4,3,4,3,4,True,True,True
2,21,baseline_raw,5,4040,4039,-1,6,7,7,6,False,False,False
2,21,baseline_raw,10,2760,2764,4,3,4,3,4,True,True,True
2,21,baseline_raw,10,3220,3210,-10,4,5,5,4,False,False,False
2,21,baseline_raw,10,3280,3287,7,5,7,7,4,False,False,False
2,21,baseline_raw,10,4040,4039,-1,6,7,7,6,False,False,False
2,21,persistence_5,5,4040,4043,3,6,7,7,6,False,False,False
2,21,persistence_5,10,3220,3214,-6,4,5,5,4,False,False,False
2,21,persistence_5,10,4040,4043,3,6,7,7,6,False,False,False
2,21,egtp_selected,10,3280,3290,10,5,7,7,4,False,False,False
